,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
43,Palm Coast,Florida,48.8,39489.0,42632.0,82121,7950.0,9084.0,2.76,FL
45,Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA
47,Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL
50,Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY
51,Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY
52,Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA
53,Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA
59,German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD
60,Costa Mesa,California,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59,CA
62,Westland,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI
63,Waldorf,Maryland,33.6,35640.0,39872.0,75512,6932.0,5954.0,2.69,MD
65,Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI
66,Kirkland,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA
67,Santa Barbara,California,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51,CA
68,Lake Forest,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA
70,Tucson,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ
72,Joliet,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL
74,Moreno Valley,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA
75,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ
76,Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI
78,Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX
80,Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA
83,Mission,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX
85,Lansing,Michigan,31.4,54333.0,59777.0,114110,5327.0,8371.0,2.39,MI
87,Bay,Texas,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59,TX
88,Apple Valley,California,34.3,32873.0,39312.0,72185,5714.0,5801.0,3.03,CA
89,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA
90,Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL
91,Davis,California,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69,CA
92,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA
95,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL
97,Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD
98,Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA
101,Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX
103,El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA
104,Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH
106,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL
110,Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.719999999999999,CA
